Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.97002;N/A
τ₀ (Pa);0.00000;211.0877
K (Pa·sⁿ);61.24979;41.0808
n (-);0.43681;0.0717
