Comparado,Referencia,MAPE (%),Pontos_Sobrepostos
20251125_144710_20251125_142628,40%B,65.5785684458279,6
20251122_191048,40%B,159.33379590203168,34
20251029_161631,40%B,23.71743691563181,55
20251029_163521,40%B,21.028857116374926,86
