P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
1,10000;1,10684;643,50790;874,14456;0,73714;0,00706;4,11359;38,96472;0,02718
1,40000;1,39744;812,47156;1266,72992;0,64162;0,01666;9,69534;34,42011;0,01173
1,90000;1,88632;1096,69038;2209,79387;0,49645;0,01640;9,53444;52,14468;0,01035
2,30000;2,31563;1346,29120;3756,40680;0,35887;0,02193;12,75599;181,95137;0,01411
2,40000;2,37357;1379,98057;4028,96527;0,34397;0,02273;13,19447;323,91877;0,02721
2,60000;2,59373;1507,98257;3895,53346;0,39727;0,02484;14,43623;617,43617;0,07515
