P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,50000;0,52992;621,00508;98,89052;6,29348;0,01049;12,28720;5,58930;0,28768
0,60000;0,58248;682,57506;124,05406;5,53800;0,03676;43,05276;16,35249;0,35080
0,70000;0,67263;788,22660;166,39935;4,73907;0,00915;10,72080;4,34538;0,12440
1,20000;1,21395;1422,58405;982,82345;1,44775;0,02977;34,90286;35,93849;0,01747
1,30000;1,30262;1526,51540;1021,16990;1,51067;0,04710;55,18413;110,21406;0,20027
1,40000;1,36615;1600,95470;1093,90990;1,48180;0,01916;22,42787;179,55775;0,22274
1,50000;1,47999;1734,35431;2956,04426;0,61266;0,02197;25,75547;723,93849;0,12493
1,60000;1,58415;1856,42020;3950,42340;0,46990;0,03967;46,46144;47,60186;0,00608
