P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
1,10000;1,10684;192,53758;1075,11844;;0,00706;1,23078;47,92305;
1,40000;1,39744;243,09150;1557,96280;;0,01666;2,90084;42,33358;
1,90000;1,88632;328,12975;2717,84590;;0,01640;2,85271;64,13320;
2,30000;2,31563;402,81033;4620,03943;;0,02193;3,81660;223,78370;
2,40000;2,37357;412,89020;4955,26153;;0,02273;3,94781;398,39070;
2,60000;2,59373;451,18840;4791,15256;;0,02484;4,31932;759,39046;
