P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
1,10000;1,10684;192,53758;1079,51836;0,17856;0,00706;1,23078;48,11921;0,00657
1,40000;1,39744;243,09150;1564,33878;0,15546;0,01666;2,90084;42,50684;0,00283
1,90000;1,88632;328,12975;2728,96867;0,12030;0,01640;2,85271;64,39570;0,00251
2,30000;2,31563;402,81033;4638,94693;0,08697;0,02193;3,81660;224,69952;0,00340
2,40000;2,37357;412,89020;4975,54097;0,08337;0,02273;3,94781;400,02106;0,00659
2,60000;2,59322;451,10028;5033,21733;0,09065;0,02717;4,72468;531,02975;0,01153
