Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Lei da Potência;N/A
Coeficiente de Determinação (R²);0.98794;N/A
K (Pa·sⁿ);11.95353;1.0145
n (-);0.58299;0.0104
