Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.94922;N/A
τ₀ (Pa);3.6333e-12;85.7916
K (Pa·sⁿ);54.04887;41.2878
n (-);0.27712;0.0739
