Diametro_mm;Comprimento_mm;Pressao_bar;Massa_g
3;10;1,2;1,0
3;10;1,8;2,5
3;10;2,5;4,5
3;10;3,3;7,0
3;10;4,2;10,0
3;20;1,5;0,9
3;20;2,3;2,3
3;20;3,1;4,2
3;20;4,0;6,5
3;20;4,9;9,2
3;30;1,7;0,85
3;30;2,5;2,2
3;30;3,3;4,0
3;30;4,2;6,2
3;30;5,0;8,2
