Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.99145;N/A
τ₀ (Pa);0.00000;67.3780
K (Pa·sⁿ);77.57567;35.6017
n (-);0.21690;0.0373
