Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;1.000;43.00;1,6300;30,3999;1,0421;1,3800;27,8496;322,6998;283,6742;1,1376;337,6409;0,9557
2;1.000;43.00;1,6300;30,4021;1,0077;1,5400;31,0763;312,0206;316,5411;0,9857;376,7604;0,8282
3;1.000;43.00;1,6300;30,2644;1,0074;1,5800;32,0286;311,9308;326,2403;0,9561;388,3049;0,8033
4;1.000;43.00;1,6300;30,3848;0,9825;1,7100;34,5265;304,2239;351,6837;0,8650;418,5887;0,7268
5;1.000;43.00;1,6300;30,2955;0,9921;1,8900;38,2733;307,2003;389,8490;0,7880;464,0146;0,6620
6;1.000;43.00;1,6300;30,4101;2,2038;3,5900;72,4251;682,3973;737,7164;0,9250;878,0610;0,7772
7;1.000;43.00;1,6300;30,2687;1,5278;3,8300;77,6278;473,0832;790,7105;0,5983;941,1368;0,5027
8;1.000;43.00;1,6300;30,4247;1,5305;3,9000;78,6413;473,9091;801,0335;0,5916;953,4236;0,4971
9;1.000;43.00;1,6300;30,3702;1,5403;3,9300;79,3883;476,9573;808,6428;0,5898;962,4806;0,4956
10;1.000;43.00;1,6300;30,3660;1,5336;3,9400;79,6014;474,8922;810,8134;0,5857;965,0641;0,4921
11;1.000;43.00;1,6300;30,2539;1,5295;3,9500;80,0992;473,6143;815,8834;0,5805;971,0987;0,4877
12;1.000;43.00;1,6300;30,3032;1,8881;5,2700;106,6928;584,6605;1086,7634;0,5380;1293,5114;0,4520
13;1.000;43.00;1,6300;30,2444;1,9075;5,4100;109,7400;590,6496;1117,8021;0,5284;1330,4550;0,4439
14;1.000;43.00;1,6300;30,2557;1,9021;5,4300;110,1044;588,9899;1121,5144;0,5252;1334,8734;0,4412
15;1.000;43.00;1,6300;30,3707;1,9089;5,5000;111,1017;591,0857;1131,6721;0,5223;1346,9636;0,4388
16;1.000;43.00;1,6300;30,3074;1,9009;5,6000;113,3579;588,6217;1154,6545;0,5098;1374,3182;0,4283
17;1.000;43.00;1,6300;30,4091;2,1978;6,7800;136,7849;680,5403;1393,2791;0,4884;1658,3391;0,4104
18;1.000;43.00;1,6300;30,5163;2,2255;6,8400;137,5107;689,1414;1400,6727;0,4920;1667,1393;0,4134
19;1.000;43.00;1,6300;30,4045;2,1974;6,8600;138,4201;680,4326;1409,9353;0,4826;1678,1641;0,4055
20;1.000;43.00;1,6300;30,5192;2,2017;6,9500;139,7088;681,7443;1423,0616;0,4791;1693,7876;0,4025
21;1.000;43.00;1,6300;30,3541;2,2104;7,0700;142,8943;684,4633;1455,5091;0,4703;1732,4080;0,3951
22;1.000;43.00;1,6300;30,2489;2,1986;7,6000;154,1403;680,8120;1570,0604;0,4336;1868,7517;0,3643
23;1.000;43.00;1,6300;30,4654;2,5961;8,5500;172,1757;803,8779;1753,7678;0,4584;2087,4079;0,3851
24;1.000;43.00;1,6300;30,4041;2,6009;8,8100;177,7692;805,3586;1810,7426;0,4448;2155,2218;0,3737
25;1.000;43.00;1,6300;30,4739;2,5996;8,9000;179,1737;804,9764;1825,0483;0,4411;2172,2490;0,3706
26;1.000;43.00;1,6300;30,4730;2,5901;9,0000;181,1922;802,0253;1845,6090;0,4346;2196,7212;0,3651
27;1.000;43.00;1,6300;30,3020;2,5915;9,0100;182,4170;802,4690;1858,0840;0,4319;2211,5694;0,3629
28;1.000;43.00;1,6300;30,2486;2,9095;10,5100;213,1619;900,9421;2171,2491;0,4149;2584,3117;0,3486
29;1.000;43.00;1,6300;30,4688;2,8994;10,6200;213,8367;897,7972;2178,1226;0,4122;2592,4928;0,3463
30;1.000;43.00;1,6300;30,3651;2,8969;10,6600;215,3749;897,0185;2193,7909;0,4089;2611,1419;0,3435
31;1.000;43.00;1,6300;30,3576;2,8909;10,8500;219,2674;895,1816;2233,4392;0,4008;2658,3330;0,3367
32;1.000;43.00;1,6300;30,5300;2,8968;11,2500;226,0678;896,9904;2302,7079;0,3895;2740,7795;0,3273
33;1.000;43.00;1,6300;30,4031;3,2942;12,2800;247,7952;1020,0525;2524,0210;0,4041;3004,1956;0,3395
34;1.000;43.00;1,6300;30,5128;3,2821;12,4800;250,9252;1016,2994;2555,9036;0,3976;3042,1436;0,3341
35;1.000;43.00;1,6300;30,1954;3,2879;12,7900;259,8614;1018,0960;2646,9266;0,3846;3150,4830;0,3232
36;1.000;43.00;1,6300;30,5225;3,2920;12,9500;260,2924;1019,3783;2651,3164;0,3845;3155,7079;0,3230
37;1.000;43.00;1,6300;30,6430;3,2944;13,1300;262,8728;1020,1051;2677,6005;0,3810;3186,9924;0,3201
38;1.000;43.00;1,6300;30,6284;3,6885;14,9900;300,2543;1142,1414;3058,3653;0,3734;3640,1946;0,3138
39;1.000;43.00;1,6300;30,6979;3,6550;15,1700;303,1725;1131,7830;3088,0901;0,3665;3675,5743;0,3079
40;1.000;43.00;1,6300;30,5871;3,6559;15,5300;311,4915;1132,0575;3172,8263;0,3568;3776,4308;0,2998
