Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Casson;N/A
Coeficiente de Determinação (R²);0.97646;N/A
Tensão de Escoamento Casson τ₀_cas (Pa);107.22888;10.0040
Viscosidade Casson η_cas (Pa·s);0.14767;0.0079
