Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.97692;N/A
τ₀ (Pa);0.00000;144.1189
K (Pa·sⁿ);37.84811;22.8984
n (-);0.50259;0.0685
