Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.97692;N/A
τ₀ (Pa);7.8818e-12;47.8475
K (Pa·sⁿ);12.56558;7.6023
n (-);0.50259;0.0685
