P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
1,10000;1,10684;192,53758;1058,80576;0,18208;0,00706;1,23078;47,19592;0,00671
1,40000;1,39744;243,09150;1534,32400;0,15850;0,01666;2,90084;41,69127;0,00288
1,90000;1,88632;328,12975;2676,60830;0,12265;0,01640;2,85271;63,16013;0,00255
2,30000;2,32270;404,04210;4650,35875;0,08695;0,02574;4,47542;191,41176;0,00262
2,40000;2,35840;410,25470;4427,52750;0,09270;;;;
2,60000;2,61673;455,18947;4585,06077;0,10023;0,00952;1,65807;528,08461;0,01238
