Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Lei da Potência;N/A
Coeficiente de Determinação (R²);0.96898;N/A
K (Pa·sⁿ);4.96632;0.8982
n (-);0.52959;0.0225
