Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.90652;N/A
τ₀ (Pa);0.00000;66.9567
K (Pa·sⁿ);47.89853;31.8918
n (-);0.28473;0.0656
