P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,50000;0,51614;600,18510;231,58590;2,59384;0,01773;20,60227;10,49157;0,08923
0,60000;0,56817;660,66021;283,02344;2,33520;0,00784;9,11655;7,54346;0,04518
0,80000;0,76255;886,66010;501,58553;1,76910;0,00537;6,24784;14,53481;0,05795
0,90000;0,90598;1053,45350;746,98493;1,41320;0,01171;13,61048;42,45212;0,06219
1,20000;1,23850;1440,08810;1604,14263;0,89810;0,00471;5,50212;42,99977;0,02304
1,30000;1,26400;1469,77263;1719,57210;0,85528;0,01001;11,66538;52,94690;0,02515
1,40000;1,44350;1678,50070;2851,10910;0,58870;;;;
1,60000;1,61025;1872,39495;3891,81055;0,48115;0,02638;30,66871;90,78212;0,00332
1,70000;1,71148;1990,09467;4932,45922;0,41005;0,03552;41,31275;715,22660;0,05461
