Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.98794;N/A
τ₀ (Pa);0.00000;37.0869
K (Pa·sⁿ);6.94739;2.6015
n (-);0.58299;0.0400
