Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.94922;N/A
τ₀ (Pa);4.7854e-12;89.0226
K (Pa·sⁿ);56.08442;42.8428
n (-);0.27712;0.0739
