Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.94046;N/A
τ₀ (Pa);9.569e-12;281.2385
K (Pa·sⁿ);59.74029;53.9338
n (-);0.44126;0.0972
