Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.94922;N/A
τ₀ (Pa);3.833e-12;86.2839
K (Pa·sⁿ);54.35905;41.5248
n (-);0.27712;0.0739
