Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.96630;N/A
τ₀ (Pa);0.00000;210.6427
K (Pa·sⁿ);11.07297;20.9702
n (-);0.49834;0.1909
