Ponto;D_cap(mm);L_cap(mm);rho(g/cm³);t_ext(s);P_ext(bar);M_ext(g);Q_calc(mm³/s);τw (Pa);γ̇aw (s⁻¹);ηa (Pa·s);γ̇w (s⁻¹);η (Pa·s)
1;1.000;43.00;1,6300;30,3076;1,0995;4,0700;82,3863;340,4501;839,1799;0,4057;1036,3390;0,3285
2;1.000;43.00;1,6300;30,3908;1,1029;4,1300;83,3721;341,5112;849,2211;0,4021;1048,7393;0,3256
3;1.000;43.00;1,6300;30,3036;1,1061;4,1900;84,8267;342,5009;864,0374;0,3964;1067,0366;0,3210
4;1.000;43.00;1,6300;30,3157;1,1075;4,2700;86,4116;342,9454;880,1813;0,3896;1086,9734;0,3155
5;1.000;43.00;1,6300;30,3091;1,1182;4,5500;92,0981;346,2539;938,1031;0,3691;1158,5035;0,2989
6;1.000;43.00;1,6300;30,1985;1,3699;5,9200;120,2674;424,1819;1225,0341;0,3463;1512,8469;0,2804
7;1.000;43.00;1,6300;30,3726;1,3951;6,0000;121,1942;432,0080;1234,4742;0,3500;1524,5048;0,2834
8;1.000;43.00;1,6300;30,4215;1,4124;6,2600;126,2428;437,3578;1285,8983;0,3401;1588,0106;0,2754
9;1.000;43.00;1,6300;30,1932;1,4026;6,2200;126,3843;434,3078;1287,3399;0,3374;1589,7909;0,2732
10;1.000;43.00;1,6300;30,3108;1,4072;6,3100;127,7159;435,7563;1300,9031;0,3350;1606,5407;0,2712
11;1.000;43.00;1,6300;30,2861;1,8713;10,4300;211,2779;579,4544;2152,0587;0,2693;2657,6690;0,2180
12;1.000;43.00;1,6300;30,3184;1,8874;10,5400;213,2784;584,4219;2172,4362;0,2690;2682,8341;0,2178
13;1.000;43.00;1,6300;30,5288;1,8816;10,6200;213,4162;582,6263;2173,8391;0,2680;2684,5666;0,2170
14;1.000;43.00;1,6300;30,3110;1,8727;10,8100;218,7956;579,8763;2228,6333;0,2602;2752,2343;0,2107
15;1.000;43.00;1,6300;30,3206;1,9164;10,8900;220,3445;593,4145;2244,4109;0,2644;2771,7187;0,2141
16;1.000;43.00;1,6300;30,2427;1,8885;11,0700;224,5635;584,7903;2287,3850;0,2557;2824,7893;0,2070
17;1.000;43.00;1,6300;20,4094;2,6212;10,7500;323,1395;811,6722;3291,4724;0,2466;4064,7796;0,1997
18;1.000;43.00;1,6300;30,6134;2,3015;17,5900;352,5060;712,6494;3590,5965;0,1985;4434,1807;0,1607
19;1.000;43.00;1,6300;30,4302;2,3584;17,8000;358,8625;730,2863;3655,3437;0,1998;4514,1398;0,1618
20;1.000;43.00;1,6300;30,5782;2,3045;18,2400;365,9532;713,5941;3727,5689;0,1914;4603,3338;0,1550
21;1.000;43.00;1,6300;20,5290;2,6058;12,9700;387,6004;806,8829;3948,0652;0,2044;4875,6340;0,1655
22;1.000;43.00;1,6300;30,4144;2,3409;19,2300;387,8939;724,8606;3951,0550;0,1835;4879,3263;0,1486
23;1.000;43.00;1,6300;20,3713;2,6232;13,4200;404,1531;812,2661;4116,6694;0,1973;5083,8506;0,1598
24;1.000;43.00;1,6300;30,4816;2,3997;20,4900;412,3986;743,0572;4200,6578;0,1769;5187,5714;0,1432
25;1.000;43.00;1,6300;30,7364;2,3626;20,8100;415,3671;731,5894;4230,8943;0,1729;5224,9117;0,1400
26;1.000;43.00;1,6300;20,4308;2,5791;13,9300;418,2900;798,6284;4260,6671;0,1874;5261,6795;0,1518
27;1.000;43.00;1,6300;20,6601;2,5704;14,2600;423,4484;795,9338;4313,2105;0,1845;5326,5675;0,1494
28;1.000;43.00;1,6300;20,5542;2,5596;14,8800;444,1357;792,5845;4523,9290;0,1752;5586,7928;0,1419
