Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.96254;N/A
τ₀ (Pa);0.00000;170.0011
K (Pa·sⁿ);44.90051;29.2855
n (-);0.47875;0.0723
