Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.94254;N/A
τ₀ (Pa);0.00000;81.3021
K (Pa·sⁿ);17.56742;15.5158
n (-);0.44248;0.0952
