Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Lei da Potência;N/A
Coeficiente de Determinação (R²);0.94700;N/A
K (Pa·sⁿ);52.34485;4.8022
n (-);0.28304;0.0126
