Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.90652;N/A
τ₀ (Pa);0.00000;69.0820
K (Pa·sⁿ);49.41885;32.9041
n (-);0.28473;0.0656
