P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,50000;0,51614;179,69544;231,58590;;0,01773;6,16832;10,49157;
0,60000;0,56817;197,80166;283,02344;;0,00784;2,72950;7,54346;
0,80000;0,76255;265,46603;501,58553;;0,00537;1,87061;14,53481;
0,90000;0,90598;315,40395;746,98493;;0,01171;4,07496;42,45212;
1,20000;1,22390;426,08085;1203,10698;;0,02945;10,25172;802,83937;
1,30000;1,26400;440,04993;1719,57210;;0,01001;3,49260;52,94690;
1,40000;1,44350;502,54310;2851,10910;;;;;
1,60000;1,61025;560,59505;3891,81055;;0,02638;9,18228;90,78212;
1,70000;1,71148;595,83437;4932,45922;;0,03552;12,36905;715,22660;
