Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.95175;N/A
τ₀ (Pa);3.3273e-11;46.0541
K (Pa·sⁿ);17.18331;8.3688
n (-);0.46146;0.0535
