Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.96630;N/A
τ₀ (Pa);0.00000;395.4989
K (Pa·sⁿ);20.79040;39.3733
n (-);0.49834;0.1909
