Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.94922;N/A
τ₀ (Pa);0.00000;307.7172
K (Pa·sⁿ);193.86250;148.0913
n (-);0.27712;0.0739
