Comparado,Referencia,MAPE (%),Pontos_Sobrepostos
20251125_143218_20251125_142628,20251029_163521,82.30609777757938,10
20251125_142708_20251125_142628,20251029_163521,82.30609777757938,10
20251029_161631,20251029_163521,23.363322550333606,41
