Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Lei da Potência;N/A
Coeficiente de Determinação (R²);0.94877;N/A
K (Pa·sⁿ);93.89342;16.0133
n (-);0.32965;0.0256
