Comparado,Referencia,MAPE (%),Pontos_Sobrepostos
20251125_144710_20251125_142628,teste-unificacao,158.41331253474004,8
20251029_161631,teste-unificacao,50.68513448927682,60
20251029_163521,teste-unificacao,53.666323436937205,99
