P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,50000;0,51614;600,18510;167,87300;3,57829;0,01773;20,60227;7,60519;0,12306
0,60000;0,56817;660,66021;205,15924;3,22147;0,00784;9,11655;5,46815;0,06233
0,80000;0,76255;886,66010;363,59148;2,44053;0,00537;6,24784;10,53605;0,07995
0,90000;0,90598;1053,45350;541,47763;1,94957;0,01171;13,61048;30,77289;0,08577
1,20000;1,23850;1440,08810;1162,81783;1,23900;0,00471;5,50212;31,16988;0,03175
1,30000;1,26400;1469,77263;1246,49083;1,17990;0,01001;11,66538;38,38038;0,03467
1,40000;1,44350;1678,50070;2066,72420;0,81220;;;;
1,60000;1,61025;1872,39495;2821,11235;0,66375;0,02638;30,66871;65,80654;0,00460
1,70000;1,71148;1990,09467;3575,46225;0,56568;0,03552;41,31275;518,45653;0,07533
