Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.93930;N/A
τ₀ (Pa);0.00000;157.0509
K (Pa·sⁿ);6.38480;15.8304
n (-);0.49655;0.2499
