Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.98532;N/A
τ₀ (Pa);0.00000;155.6369
K (Pa·sⁿ);88.59391;42.4500
n (-);0.36892;0.0481
