Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.97568;N/A
τ₀ (Pa);0.00000;82.1913
K (Pa·sⁿ);16.47196;15.9436
n (-);0.45342;0.1076
