Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.95175;N/A
τ₀ (Pa);0.00000;139.4312
K (Pa·sⁿ);52.02337;25.3370
n (-);0.46146;0.0535
