Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.95175;N/A
τ₀ (Pa);2.8239e-11;41.2437
K (Pa·sⁿ);15.38851;7.4947
n (-);0.46146;0.0535
