P_NOMINAL_AGRUPADA;P_ext_MEDIA(bar);τw_MEDIA(Pa);γ̇w_MEDIA(s⁻¹);η_MEDIA(Pa·s);STD_P_ext(bar);STD_τw (Pa);STD_γ̇w (s⁻¹);STD_η (Pa·s)
0,50000;0,52992;155,25127;98,89052;1,57338;0,01049;3,07180;5,58930;0,07194
0,60000;0,58248;170,64378;124,05406;1,38446;0,03676;10,76319;16,35249;0,08770
0,70000;0,67263;197,05667;166,39935;1,18478;0,00915;2,68022;4,34538;0,03109
1,20000;1,21395;355,64600;982,82345;0,36195;0,02977;8,72570;35,93849;0,00431
1,30000;1,30262;381,62885;1021,16990;0,37767;0,04710;13,79608;110,21406;0,05006
1,40000;1,36615;400,23870;1093,90990;0,37045;0,01916;5,60693;179,55775;0,05565
1,50000;1,47999;433,58856;2956,04426;0,15317;0,02197;6,43887;723,93849;0,03124
1,60000;1,58415;464,10505;3950,42340;0,11750;0,03967;11,61543;47,60186;0,00156
