P_ext(bar);M_ext(g);t_ext(s);D_cap(mm);L_cap(mm);rho(g/cm³);τw (Pa);γ̇w (s⁻¹);η (Pa·s)
0,2240;0,9800;10,1102;3,0000;64,0000;1,6300;262,5174;22,4345;11,7015
0,2396;1,1200;10,0046;3,0000;64,0000;1,6300;280,7568;25,9099;10,8359
0,2452;1,1700;10,2178;3,0000;64,0000;1,6300;287,3389;26,5018;10,8422
0,2486;1,1700;10,2218;3,0000;64,0000;1,6300;291,3446;26,4916;10,9976
0,2564;1,3400;10,2154;3,0000;64,0000;1,6300;300,4272;30,3597;9,8956
0,2593;1,3700;10,2143;3,0000;64,0000;1,6300;303,8093;31,0429;9,7867
0,3149;2,0400;10,3324;3,0000;64,0000;1,6300;368,9849;45,6958;8,0748
0,3256;2,2100;9,9987;3,0000;64,0000;1,6300;381,5732;51,1562;7,4590
0,3339;2,3700;10,2172;3,0000;64,0000;1,6300;391,2583;53,6866;7,2878
0,3357;2,3800;10,2169;3,0000;64,0000;1,6300;393,4381;53,9145;7,2975
0,3374;2,3800;10,3291;3,0000;64,0000;1,6300;395,3499;53,3290;7,4134
0,4088;1,2100;6,9646;3,0000;64,0000;1,6300;479,1151;40,2103;11,9152
0,5134;4,8800;18,2969;3,0000;64,0000;1,6300;601,6727;61,7292;9,7470
0,5185;5,0000;18,3052;3,0000;64,0000;1,6300;607,6505;63,2185;9,6119
0,5194;4,7300;18,3012;3,0000;64,0000;1,6300;608,6693;59,8177;10,1754
0,5239;5,2300;18,4137;3,0000;64,0000;1,6300;613,9095;65,7369;9,3389
0,5275;4,7600;18,2976;3,0000;64,0000;1,6300;618,1739;60,2090;10,2671
0,5290;5,0700;18,6363;3,0000;64,0000;1,6300;619,9437;62,9647;9,8459
0,5331;5,1400;18,4131;3,0000;64,0000;1,6300;624,7747;64,6077;9,6703
0,5365;4,8600;18,6431;3,0000;64,0000;1,6300;628,7173;60,3347;10,4205
0,5405;5,2300;18,2976;3,0000;64,0000;1,6300;633,3496;66,1542;9,5738
0,5428;4,8100;17,0659;3,0000;64,0000;1,6300;636,0952;65,2325;9,7512
0,5445;5,7500;18,4082;3,0000;64,0000;1,6300;638,0995;72,2944;8,8264
0,5547;5,9400;18,4207;3,0000;64,0000;1,6300;650,0945;74,6328;8,7106
0,5634;6,0000;18,3112;3,0000;64,0000;1,6300;660,2063;75,8374;8,7056
0,5704;5,7700;18,2958;3,0000;64,0000;1,6300;668,4159;72,9917;9,1574
0,5774;6,2300;18,4049;3,0000;64,0000;1,6300;676,5994;78,3435;8,6363
0,6465;7,8000;18,2995;3,0000;64,0000;1,6300;757,5592;98,6517;7,6791
0,6638;8,1900;18,2493;3,0000;64,0000;1,6300;777,9008;103,8690;7,4892
0,6682;8,6000;18,2970;3,0000;64,0000;1,6300;783,0612;108,7848;7,1983
0,6735;8,6700;18,1829;3,0000;64,0000;1,6300;789,2078;110,3584;7,1513
0,6850;8,4400;18,3059;3,0000;64,0000;1,6300;802,7366;106,7089;7,5227
0,7874;13,5000;10,2182;3,0000;64,0000;1,6300;922,6770;305,7788;3,0175
0,8110;14,6700;10,3209;3,0000;64,0000;1,6300;950,4054;328,9734;2,8890
0,8236;13,8300;10,2160;3,0000;64,0000;1,6300;965,1657;313,3225;3,0804
0,8297;13,8500;10,2221;3,0000;64,0000;1,6300;972,3110;313,5884;3,1006
0,8330;14,7900;10,2192;3,0000;64,0000;1,6300;976,1781;334,9656;2,9143
0,9694;54,6100;10,5630;3,0000;64,0000;1,6300;1136,0337;1196,5580;0,9494
1,0074;57,3600;10,2244;3,0000;64,0000;1,6300;1180,5334;1298,4391;0,9092
1,0376;25,0000;10,2179;3,0000;64,0000;1,6300;1215,9682;566,2721;2,1473
1,0616;51,2200;10,3303;3,0000;64,0000;1,6300;1244,0993;1147,5652;1,0841
1,0691;25,1800;10,1020;3,0000;64,0000;1,6300;1252,8942;576,8941;2,1718
1,0828;28,5700;9,9903;3,0000;64,0000;1,6300;1268,8648;661,8814;1,9171
1,1666;36,9800;10,2131;3,0000;64,0000;1,6300;1367,1267;838,0256;1,6314
1,1679;54,3200;10,3342;3,0000;64,0000;1,6300;1368,6160;1216,5503;1,1250
1,1929;27,8900;10,4430;3,0000;64,0000;1,6300;1397,9040;618,1210;2,2615
1,1969;55,6400;10,1932;3,0000;64,0000;1,6300;1402,5788;1263,3511;1,1102
1,2350;29,3800;10,4463;3,0000;64,0000;1,6300;1447,2641;650,9343;2,2234
1,2556;29,8400;10,4423;3,0000;64,0000;1,6300;1471,4478;661,3782;2,2248
