Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.96630;N/A
τ₀ (Pa);8.607e-12;118.3333
K (Pa·sⁿ);6.22049;11.7805
n (-);0.49834;0.1909
