Parâmetro;Valor Estimado;Erro Padrão (+/-)
Modelo Reológico Ajustado;Herschel-Bulkley;N/A
Coeficiente de Determinação (R²);0.94254;N/A
τ₀ (Pa);0.00000;274.8549
K (Pa·sⁿ);59.38953;52.4536
n (-);0.44248;0.0952
